timestamp,velocidade,rpm,engine_load,coolant_temp,timing_advance,intake_temp,maf,throttle,fuelLevel,ethanol_percentage,tempAmbiente,bateria,temperaturaMotor,tempTotal,radar_area,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_magnitude,latitude,longitude,teda_flag,fuel_type,fuel_type_prob,driver_behavior,perfilMotorista,eco,tipoVia,tipoVia_prob,co2_emission,co2,instant_fuel_consumption,distancia,consumo_total,contagem_consumo,consumo_medio,consumo,bussola,notaImetro,model_response,inference_time_s,memory_before_mb,memory_after_mb,cpu_before_percent,cpu_after_percent,detectado,teda_inference_time,mmcloud_inference_time,city_highway_inference_time,fuel_type_inference_time,temp_rasp
2025-05-08 13:56:27,0,984,17,67,8,39,0.003912204145,15,61.18,26.67,28.5,13.52,67,10.03091288,211.14,-0.2105683982,5.83669281,8.271688461,0,0,0,10.12581612,-5.8431353,-35.1976607,FALSE,gasolina,[0. 1.],normal,normal,FALSE,Cidade,[0.99 0.01],0.000831914978,0.831914978,77.2246434,0,77.2246434,0,19.30616085,19.30616085,Norte,A,,,,,,,FALSE,0.205851,1.890644,334.656977,107.960434,62
2025-05-08 13:56:32,0,916,31,67,8,39,0.003641848574,15,61.18,26.67,28.5,13.52,67,11.34500456,374.48,0.8452646136,5.305186749,7.864609718,0,0,0,9.524261899,-5.8431353,-35.1976607,TRUE,gasolina,[0. 1.],normal,normal,FALSE,Rodovia,[0.33 0.67],0.0007744249185,0.7744249185,82.95747719,0,82.95747719,0,16.59149544,16.59149544,Norte,A,Você está dirigindo de forma normal. Continue atento à estrada,3.12,652.25,656.75,20.5,86.4,FALSE,0.165148,0.90848,315.178174,86.991023,62.6
2025-05-08 13:56:36,0,916,31,67,8,39,0.003641848574,57,61.18,26.67,28.5,13.55,67,15.94693899,1025.48,0.5410770178,5.106582642,8.589934349,0,0,0,10.00784306,-5.8431353,-35.1976607,TRUE,gasolina,[0.02 0.98],normal,normal,FALSE,Cidade,[0.8 0.2],0.0007744249185,0.7744249185,82.95747719,0,82.95747719,0,13.8262462,13.8262462,Norte,A,Você está dirigindo de forma normal. Continue atento à estrada,1.68,657,657,24.3,79.9,FALSE,0.30324,0.651813,278.199044,69.771955,63.1
2025-05-08 13:56:39,0,916,31,67,-17.5,39,0.006069747623,57,61.18,26.67,28.5,13.55,67,20.51333451,1025.48,0.5578267574,5.202295303,8.233403206,0,0,0,9.755202482,-5.8431353,-35.1976607,TRUE,gasolina,[0.01 0.99],normal,normal,FALSE,Cidade,[0.7 0.3],0.001290708198,1.290708198,49.77448631,0,49.77448631,0,7.110640902,7.110640902,Norte,A,Você está dirigindo de forma normal. Continue atento à estrada,1.95,656.23,656.23,23.1,83.1,FALSE,0.275369,0.470351,303.334074,336.954953,63.7
2025-05-08 13:56:42,0,916,31,67,-17.5,39,0.006069747623,57,61.18,26.67,28.5,13.55,67,23.75858212,1025.48,0.742074132,5.415555954,8.369794846,0,0,0,9.996618732,-5.8431353,-35.1976607,TRUE,gasolina,[0.01 0.99],cauteloso,cauteloso,TRUE,Cidade,[0.73 0.27],0.001290708198,1.290708198,49.77448631,0,49.77448631,0,6.221810789,6.221810789,Norte,A,Você está dirigindo de forma cautelosa. Ótimo para segurança e economia!,1.71,656.23,656.23,28.8,77.3,FALSE,0.1055179999,0.4010919999,311.946886,76.406364,69.7
2025-05-08 13:56:44,1,938,27,68,-17.5,39,0.006215527588,57,61.18,26.67,28.5,13.55,68,26.79022837,929.32,0.8234301209,5.053940296,8.436793327,0,0,0,9.869135288,-5.8431438,-35.1976499,FALSE,gasolina,[0.01 0.99],cauteloso,cauteloso,TRUE,Cidade,[0.91 0.09],0.001321707739,475.8144055,302.0310665,0.0002777777778,302.0310665,0,33.55900739,33.55900739,Norte,A,,,,,,,FALSE,0.219703,0.389628,282.057257,86.499765,70.8
2025-05-08 13:56:47,1,938,27,68,-17.5,39,0.006215527588,20,61.18,26.67,28.5,13.68,68,28.1079514,411.32,0.9672985673,5.470590591,7.965108395,0,0,0,9.711126591,-5.8431438,-35.1976499,FALSE,gasolina,[0.01 0.99],cauteloso,cauteloso,TRUE,Cidade,[0.98 0.02],0.001321707739,475.8144055,302.0310665,0.0005555555556,302.0310665,0,30.20310665,30.20310665,Norte,A,Não há sinistros ou multas próximos no caminho.,1.85,656.25,656.25,20.9,81.9,FALSE,0.1035739999,2.261753,264.551875,66.178686,71.9
2025-05-08 13:56:48,1,938,27,68,-12,39,0.006150100982,20,61.18,26.67,28.5,13.68,68,31.25634432,411.32,0.1770688742,6.478567123,7.845467091,0,0,0,10.17617508,-5.8431438,-35.1976499,FALSE,gasolina,[0.01 0.99],cauteloso,cauteloso,TRUE,Cidade,[0.97 0.03],0.001307795026,470.8058329,305.244163,0.0008333333333,305.244163,0,27.74946936,27.74946936,Norte,A,,,,,,,FALSE,0.1015739999,0.4337949999,255.307935,56.680655,70.8
2025-05-08 13:56:49,1,938,27,68,-12,39,0.006150100982,20,61.18,26.67,28.5,13.68,68,32.50829768,411.32,0.8715856671,5.06111908,9.29402256,0,0,0,10.61854243,-5.8431438,-35.1976499,FALSE,gasolina,[0.01 0.99],cauteloso,cauteloso,TRUE,Cidade,[0.95 0.05],0.001307795026,470.8058329,305.244163,0.001111111111,305.244163,0,25.43701358,25.43701358,Norte,A,,,,,,,FALSE,0.252907,0.502443,296.046666,61.848105,70.8
2025-05-08 13:56:51,2,936,29,69,-12,39,0.00613698776,20,61.18,26.67,28.5,13.68,69,33.72420812,455.08,1.864906192,3.636492252,8.115856171,0,0,0,9.086752577,-5.8431438,-35.1976499,FALSE,gasolina,[0.02 0.98],cauteloso,cauteloso,TRUE,Cidade,[0.93 0.07],0.001305006551,234.9009912,611.7927882,0.001666666667,611.7927882,0,47.06098371,47.06098371,Norte,A,,,,,,,FALSE,0.167332,0.311369,296.500443,54.267401,69.2
2025-05-08 13:56:52,2,936,29,69,-12,39,0.006006413552,20,61.18,26.67,28.5,13.62,69,35.00653768,455.08,-0.1052841991,2.305484533,9.57158947,0,0,0,9.845896032,-5.8431466,-35.197646,FALSE,gasolina,[0.02 0.98],cauteloso,cauteloso,TRUE,Cidade,[0.97 0.03],0.001277240454,229.9030978,625.0926314,0.002222222222,625.0926314,0,44.64947367,44.64947367,Norte,A,,,,,,,FALSE,0.154499,0.725182,329.213369,63.405714,69.2
